comp100057,GO:0005634,AT1G70180.1
comp100130,GO:0005774,AT5G49890.1
comp100419,GO:0005634,AT4G30980.1
comp10126,GO:0005634,AT1G66140.1
comp102407,GO:0005794;GO:0005794,AT3G61130.1
comp102531,GO:0005739,AT5G16870.1
comp103170,GO:0005739,AT4G17650.1
comp103245,GO:0005576;GO:0009506,AT2G41475.1
comp103470,GO:0005737,AT5G48680.1
comp10424,GO:0005739,AT2G33210.2
comp104701,GO:0005634;GO:0005886;GO:0005886,AT1G53050.1
comp10852,GO:0005886;GO:0005829,AT4G23050.1
comp1087370,GO:0005737;GO:0005774;GO:0009506,AT5G02450.1
comp1087571,GO:0005739,AT3G24000.1
comp10883,GO:0005634;GO:0009535;GO:0016020,AT5G18180.1
comp1094970,GO:0005739,AT2G03880.1
comp1106516,GO:0005739;GO:0005886;GO:0005886,AT3G08600.1
comp1109060,GO:0005634,AT5G59980.1
comp111095,GO:0009507,AT4G16730.1
comp1118384,GO:0009507,AT4G18750.1
comp11206,GO:0005634,AT5G07400.1
comp1120871,GO:0005739;GO:0009941;GO:0009507;GO:0005739;GO:0005618;GO:0005774;GO:0009506;GO:0005794,AT5G19760.1
comp1121630,GO:0005634,AT3G51800.3
comp1126200,GO:0005829,AT3G06810.1
comp112626,GO:0005886,AT2G05940.1
comp1130358,GO:0005737,AT3G19050.1
comp1135279,GO:0005576,AT4G10950.1
comp1138655,GO:0005739,AT5G46680.1
comp11425,GO:0005576,AT3G50230.1
comp11464,GO:0005794;GO:0005773,AT1G79590.2
comp1147999,GO:0005739,AT2G13600.1
comp115610,GO:0005737;GO:0005730;GO:0005618;GO:0005886;GO:0005886;GO:0009570;GO:0009941;GO:0005829;GO:0009506,AT5G09810.1
comp1162002,GO:0005737;GO:0009507;GO:0005829,AT3G27300.3
comp1164883,GO:0005777,AT1G76150.1
comp11683,GO:0046686,AT1G13060.1
comp11688,GO:0005739,AT3G24000.1
comp11752,GO:0005634,AT1G20720.1
comp11929,GO:0005634,AT5G13950.3
comp12038,GO:0005737;GO:0005829,AT3G23570.1
comp120799,GO:0005737;GO:0005730;GO:0005618;GO:0005886;GO:0005886;GO:0009570;GO:0009941;GO:0005829;GO:0009506,AT5G09810.1
comp120931,GO:0005634,AT1G68840.2
comp122323,GO:0005634,AT4G35900.1
comp12263,GO:0005739,AT4G18840.1
comp12355,GO:0005739,AT2G37320.1
comp12554,GO:0005737;GO:0005829,AT5G26667.3
comp12740,GO:0005737;GO:0009506,AT5G23110.1
comp12983,GO:0005739,AT4G02750.1
comp130346,GO:0005737;GO:0005829,AT3G60245.1
comp1306964,GO:0005886,AT5G09220.1
comp1314229,GO:0005737,AT1G57660.1
comp13279,GO:0009507,AT5G45840.2
comp13373,GO:0005634,AT1G77320.1
comp1337,GO:0005634,AT1G20720.1
comp1338508,GO:0005634;GO:0005829,AT5G18110.1
comp13393,GO:0005576,AT1G56710.1
comp1360862,GO:0005634,AT4G32375.1
comp1366955,GO:0005739;GO:0005739;GO:0016020;GO:0009651,AT2G20360.1
comp1367,GO:0009507,AT4G22745.1
comp1374082,GO:0005739,AT4G21065.2
comp1374241,GO:0005739,AT2G20540.1
comp1397721,GO:0005739;GO:0022626,AT3G15200.1
comp1403585,GO:0009507,AT1G61520.3
comp1410474,GO:0005739,AT5G16640.1
comp14155,GO:0005739,AT3G02010.1
comp1441,GO:0005634;GO:0005886;GO:0005886,AT1G53470.1
comp145710,GO:0005739;GO:0005886;GO:0016020,AT5G15680.1
comp1463093,GO:0009507;GO:0009941;GO:0009941;GO:0009535;GO:0009507;GO:0009535;GO:0009507;GO:0009579;GO:0009534,AT1G55670.1
comp1488383,GO:0005634,AT1G69770.1
comp150645,GO:0005634,AT1G01490.2
comp15287,GO:0005739,AT1G68890.1
comp15341,GO:0005634,AT3G19184.1
comp1547435,GO:0009579;GO:0009941;GO:0005634;GO:0009507;GO:0009570;GO:0046686;GO:0009579;GO:0005524;GO:0005739;GO:0009570;GO:0005739;GO:0009507;GO:0009570;GO:0009570,AT4G24280.1
comp15646,GO:0005737,AT1G03390.1
comp15884,GO:0005634;GO:0005829,AT1G14000.1
comp15991,GO:0009507,AT4G01840.1
comp16019,GO:0009507;GO:0046686;GO:0005507;GO:0005886;GO:0009651;GO:0048046;GO:0009570;GO:0005829;GO:0009506,AT1G65930.1
comp1644000,GO:0009507,AT1G16300.1
comp16634,GO:0005739,AT2G22410.1
comp1726945,GO:0005737;GO:0005829,AT5G26360.1
comp17277,GO:0005886,AT5G13760.1
